#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
G,https://github.com/rudyghill/dwm.git,"Suckless' dynamic window manager"
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg,"X11."
,ttf-inconsolata,"is the monospace font of LARBS."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,arandr,"is a UI for screen adjustment."
,xorg-xprop,"is a tool for detecting window properties."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,vim,"editor"
,slock,"is the screen lock."
,mpv,"is the patrician's choice video/gif player."
,networkmanager,"does exactly what it sounds like."
,firefox,"web browser"
A,ttf-emojione,"is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere."
A,ttf-symbola,"provides unicode and emoji symbols."
,pulseaudio,"is the audio system (>inb4 bloat)."
,pulseaudio-alsa,"is an audio interface with ALSA."
,imagemagick,"is a terminal image-manipulator providing some convenient shortcuts and the lockscreen in LARBS."
,w3m,"is a terminal browser which can also view images."
,xclip,"allows for copying and pasting from the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,mupdf,"is a pdf viewer with vim-like bindings."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
G,https://github.com/rudyghill/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/rudyghill//st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/dylanaraps/neofetch.git,"neofetch"
